ID_DATE,DATE_SNAPSHOT,NUMERO_SEMAINE,NOM_MOIS,ANNEE,NUM_TRIMESTRE,INTITULE_TRIMESTRE,NB_JOURS_FERIES,FLAG_ANNEE_BISSEXTILE
120,30/04/2010,17,April    ,2010,2,T2,0,N
121,01/05/2010,17,May      ,2010,2,T2,0,N
122,02/05/2010,17,May      ,2010,2,T2,0,N
123,03/05/2010,18,May      ,2010,2,T2,0,N
124,04/05/2010,18,May      ,2010,2,T2,0,N
125,05/05/2010,18,May      ,2010,2,T2,0,N
126,06/05/2010,18,May      ,2010,2,T2,0,N
127,07/05/2010,18,May      ,2010,2,T2,0,N
128,08/05/2010,18,May      ,2010,2,T2,0,N
129,09/05/2010,18,May      ,2010,2,T2,0,N
130,10/05/2010,19,May      ,2010,2,T2,0,N
131,11/05/2010,19,May      ,2010,2,T2,0,N
132,12/05/2010,19,May      ,2010,2,T2,0,N
133,13/05/2010,19,May      ,2010,2,T2,0,N
134,14/05/2010,19,May      ,2010,2,T2,0,N
135,15/05/2010,19,May      ,2010,2,T2,0,N
136,16/05/2010,19,May      ,2010,2,T2,0,N
137,17/05/2010,20,May      ,2010,2,T2,0,N
138,18/05/2010,20,May      ,2010,2,T2,0,N
139,19/05/2010,20,May      ,2010,2,T2,0,N
140,20/05/2010,20,May      ,2010,2,T2,0,N
141,21/05/2010,20,May      ,2010,2,T2,0,N
142,22/05/2010,20,May      ,2010,2,T2,0,N
143,23/05/2010,20,May      ,2010,2,T2,0,N
144,24/05/2010,21,May      ,2010,2,T2,0,N
145,25/05/2010,21,May      ,2010,2,T2,0,N
146,26/05/2010,21,May      ,2010,2,T2,0,N
147,27/05/2010,21,May      ,2010,2,T2,0,N
148,28/05/2010,21,May      ,2010,2,T2,0,N
149,29/05/2010,21,May      ,2010,2,T2,0,N
150,30/05/2010,21,May      ,2010,2,T2,0,N
151,31/05/2010,22,May      ,2010,2,T2,0,N
152,01/06/2010,22,June     ,2010,2,T2,0,N
153,02/06/2010,22,June     ,2010,2,T2,0,N
154,03/06/2010,22,June     ,2010,2,T2,0,N
155,04/06/2010,22,June     ,2010,2,T2,0,N
156,05/06/2010,22,June     ,2010,2,T2,0,N
157,06/06/2010,22,June     ,2010,2,T2,0,N
158,07/06/2010,23,June     ,2010,2,T2,0,N
159,08/06/2010,23,June     ,2010,2,T2,0,N
160,09/06/2010,23,June     ,2010,2,T2,0,N
161,10/06/2010,23,June     ,2010,2,T2,0,N
162,11/06/2010,23,June     ,2010,2,T2,0,N
163,12/06/2010,23,June     ,2010,2,T2,0,N
164,13/06/2010,23,June     ,2010,2,T2,0,N
165,14/06/2010,24,June     ,2010,2,T2,0,N
166,15/06/2010,24,June     ,2010,2,T2,0,N
167,16/06/2010,24,June     ,2010,2,T2,0,N
168,17/06/2010,24,June     ,2010,2,T2,0,N
